Player Name,Team,Games,Wins,Losses,OT Losses,Goals Against Average,Goals Against,Shots Against,Saves,Save%,Shutouts
Alexandar Georgiev,COL,63,38,18,5,3,183,1770,1587,0.897,2
Connor Hellebuyck,WPG,60,37,19,4,2.4,142,1798,1656,0.921,5
Sergei Bobrovsky,FLA,58,36,17,4,2.4,135,1584,1449,0.915,6
Stuart Skinner,EDM,59,36,16,5,2.6,147,1553,1406,0.905,2
Igor Shesterkin,NYR,55,36,17,2,2.6,141,1606,1465,0.912,4
Juuse Saros,NSH,64,35,24,5,2.9,173,1845,1672,0.906,3
Jake Oettinger,DAL,54,35,14,4,2.7,140,1476,1336,0.905,3
Thatcher Demko,VAN,51,35,14,2,2.5,123,1492,1369,0.918,5
Andrei Vasilevskiy,TBL,52,30,20,2,2.9,148,1477,1329,0.9,2
Jordan Binnington,STL,57,28,21,5,2.9,156,1786,1630,0.913,3
Cam Talbot,DET,54,27,20,6,2.5,130,1490,1360,0.913,3
Ukko-Pekka Luukkonen,BUF,54,27,22,4,2.6,132,1470,1338,0.91,5
Jeremy Swayman,BOS,44,25,10,8,2.5,108,1287,1179,0.916,3
Ilya Sorokin,NYI,56,25,19,12,3,167,1822,1655,0.908,2
Charlie Lindgren,WSH,50,25,16,7,2.7,127,1431,1304,0.911,6
Logan Thompson,WSH,46,25,14,5,2.7,119,1298,1179,0.908,1
Samuel Ersson,PHI,51,23,19,7,2.8,132,1204,1072,0.89,4
Pyotr Kochetkov,CAR,42,23,13,4,2.3,92,1031,939,0.911,4
Ilya Samsonov,VGK,40,23,7,8,3.1,120,1087,967,0.89,3
Connor Ingram,UTA,50,23,21,3,2.9,136,1461,1325,0.907,6
Jacob Markstrom,NJD,48,23,23,2,2.8,131,1379,1248,0.905,2
Linus Ullmark,OTT,40,22,10,7,2.6,103,1207,1104,0.915,2
Joonas Korpisalo,BOS,55,21,26,4,3.3,168,1522,1354,0.89,0
Alex Lyon,DET,44,21,18,5,3.1,127,1325,1198,0.904,2
Filip Gustavsson,MIN,45,20,18,4,3.1,129,1283,1154,0.899,3
Joey Daccord,SEA,50,19,18,11,2.5,116,1374,1258,0.916,3
Adin Hill,VGK,35,19,12,2,2.7,89,979,890,0.909,2
Tristan Jarry,PIT,51,19,25,5,2.9,133,1369,1236,0.903,6
Alex Nedeljkovic,PIT,38,18,7,7,3,102,1039,937,0.902,1
Jonathan Quick,NYR,27,18,6,2,2.6,69,771,702,0.911,2
Petr Mrazek,CHI,56,18,31,4,3.1,160,1724,1564,0.907,1
Marc-Andre Fleury,MIN,40,17,15,5,3,111,1056,945,0.895,2
Vitek Vanecek,SJS,33,17,9,4,3.2,95,862,767,0.89,0
Sam Montembeault,MTL,41,16,15,9,3.2,127,1307,1180,0.903,0
Scott Wedgewood,NSH,32,16,7,5,2.9,85,844,759,0.899,0
Anthony Stolarz,TOR,27,16,7,2,2,51,684,633,0.925,2
Anton Forsberg,OTT,30,15,12,0,3.2,84,765,681,0.89,2
Laurent Brossoit,CHI,23,15,5,2,2,45,620,575,0.927,3
Joel Hofer,STL,30,15,12,1,2.7,72,830,758,0.913,1
Philipp Grubauer,SEA,36,14,16,2,2.9,95,941,846,0.899,2
Semyon Varlamov,NYI,28,14,8,4,2.6,69,837,768,0.918,3
Lukas Dostal,ANA,44,14,23,3,3.4,129,1310,1181,0.902,1
Elvis Merzlikins,CBJ,41,13,17,8,3.5,130,1266,1136,0.897,1
Darcy Kuemper,LAK,33,13,14,3,3.3,103,940,837,0.89,1
John Gibson,ANA,46,13,27,2,3.6,151,1343,1192,0.888,0
Frederik Andersen,CAR,16,13,2,0,1.9,28,410,382,0.932,3
David Rittich,LAK,24,13,6,3,2.2,49,621,572,0.921,3
Karel Vejmelka,UTA,38,13,19,2,3.4,114,1089,975,0.895,1
Antti Raanta,FA,24,12,7,2,3,63,493,430,0.872,1
Jake Allen,NJD,34,12,18,4,3.5,114,1087,973,0.895,0
Calvin Pickard,EDM,23,12,7,1,2.5,53,581,528,0.909,1
Jonas Johansson,TBL,26,12,7,5,3.4,83,752,669,0.89,2
Carter Hart,FA,26,12,9,3,2.8,68,727,659,0.906,1
Joseph Woll,TOR,25,12,11,1,3,72,772,700,0.907,0
Casey DeSmith,DAL,29,12,9,6,2.9,80,759,679,0.895,1
Kevin Lankinen,VAN,24,11,6,0,2.8,56,610,554,0.908,1
James Reimer,BUF,25,11,8,2,3.1,70,727,657,0.904,2
Martin Jones,FA,22,11,8,1,2.9,56,574,518,0.902,2
Mackenzie Blackwood,SJS,44,10,25,4,3.5,140,1383,1243,0.899,2
Devon Levi,BUF,23,10,8,2,3.1,67,666,599,0.899,0
Nico Daws,NJD,21,9,11,0,3.2,60,568,508,0.894,0
Ville Husso,DET,19,9,5,2,3.6,60,556,496,0.892,0
Dan Vladar,CGY,20,8,9,2,3.6,68,574,506,0.882,0
Cayden Primeau,MTL,23,8,9,4,3,66,731,665,0.91,2
Daniil Tarasov,CBJ,24,8,11,3,3.2,73,796,723,0.908,0
Justus Annunen,COL,14,8,4,1,2.3,30,414,384,0.928,2
Kaapo Kahkonen,WPG,37,7,24,3,3.7,116,1139,1023,0.898,1
Spencer Martin,CAR,19,7,9,2,3.3,59,533,474,0.889,0
Dustin Wolf,CGY,17,7,7,1,3.2,50,467,417,0.893,0
Arvid Soderblom,CHI,32,5,22,2,3.9,114,942,828,0.879,0
Akira Schmid,VGK,19,5,9,1,3.2,48,457,409,0.895,0
Ivan Prosvetov,FA,11,4,3,1,3.2,26,248,222,0.895,0
