Player Name,Team,Position,Games,Goals,Assists,Points,+/-,Penalty Minutes,Shots,Game Winning Goals,PP Goals,PP Assists,SH Goals,SH Assists,Hits,Blocked Shots
Auston Matthews,TOR,C,81,69,38,107,31,20,369,8,18,11,0,1,89,93
Sam Reinhart,FLA,RW,82,57,37,94,29,31,233,11,27,7,5,0,78,66
Zach Hyman,EDM,RW,80,54,23,77,36,48,290,7,15,5,0,0,87,37
Nathan MacKinnon,COL,C,82,51,89,140,35,42,405,9,10,38,0,0,55,69
Artemi Panarin,NYR,LW,82,49,71,120,18,24,303,5,11,33,0,1,18,15
Filip Forsberg,NSH,RW,82,48,46,94,16,43,347,11,13,19,0,0,141,44
David Pastrnak,BOS,RW,82,47,63,110,21,47,382,5,12,23,0,0,70,19
Brayden Point,TBL,C,81,46,44,90,-16,14,227,12,15,17,0,0,16,44
Kirill Kaprizov,MIN,LW,75,46,50,96,11,36,277,8,19,22,0,0,54,38
Nikita Kucherov,TBL,RW,81,44,100,144,8,22,306,6,13,40,0,0,45,35
Jonathan Marchessault,NSH,LW,82,42,27,69,-2,40,266,5,8,9,0,0,107,23
Sidney Crosby,PIT,C,82,42,52,94,7,40,278,3,10,13,0,0,100,37
Mikko Rantanen,COL,RW,80,42,62,104,19,50,271,9,14,26,0,0,53,49
Leon Draisaitl,EDM,C,81,41,65,106,26,76,217,7,21,18,0,2,58,26
William Nylander,TOR,C,82,40,58,98,1,24,316,7,11,24,3,1,32,29
Steven Stamkos,NSH,C,79,40,41,81,-21,34,262,6,19,20,0,0,78,43
Brock Boeser,VAN,RW,81,40,33,73,23,14,204,4,16,9,0,0,56,29
Chris Kreider,NYR,LW,82,39,36,75,19,26,246,7,18,11,2,3,97,20
J.T. Miller,VAN,C,81,37,66,103,32,58,194,9,10,30,2,0,216,61
Frank Vatrano,ANA,LW,82,37,23,60,-20,85,272,7,13,7,3,1,156,78
Brady Tkachuk,OTT,LW,81,37,37,74,1,134,357,2,12,10,0,0,293,34
Sebastian Aho,CAR,C,78,36,53,89,34,36,216,10,11,21,1,1,47,18
Kyle Connor,WPG,LW,65,34,27,61,-6,6,221,10,5,14,0,0,14,19
Elias Pettersson,VAN,C,82,34,55,89,20,12,207,10,13,18,0,2,125,68
Carter Verhaeghe,FLA,C,76,34,38,72,17,36,246,7,8,13,0,0,63,20
Brock Nelson,NYI,C,82,34,35,69,-5,28,250,2,9,10,1,1,38,47
Tyler Toffoli,SJS,RW,79,33,22,55,-6,14,229,4,11,7,0,0,75,11
Bo Horvat,NYI,C,81,33,35,68,-1,39,248,6,10,8,1,1,60,42
Dylan Larkin,DET,C,68,33,36,69,5,39,221,5,14,12,2,0,44,34
Nick Suzuki,MTL,C,82,33,44,77,-14,36,185,1,12,19,0,0,68,48
Travis Konecny,PHI,RW,76,33,35,68,4,67,244,5,4,5,6,1,90,32
Clayton Keller,UTA,RW,78,33,43,76,-20,32,228,4,9,21,0,0,20,30
Seth Jarvis,CAR,RW,81,33,34,67,23,14,176,9,13,7,2,1,115,52
Wyatt Johnston,DAL,C,82,32,33,65,14,38,216,3,3,7,3,0,52,42
Connor McDavid,EDM,C,76,32,100,132,35,30,263,5,7,37,1,0,118,39
Jack Eichel,VGK,C,63,31,37,68,4,27,278,7,11,11,0,2,26,61
Trevor Moore,LAK,LW,82,31,26,57,11,28,244,5,2,5,2,0,91,58
Jordan Kyrou,STL,RW,82,31,36,67,-12,22,251,4,8,13,0,0,26,32
Alex Ovechkin,WSH,LW,79,31,34,65,-22,20,272,5,13,15,0,0,161,27
Lucas Raymond,DET,RW,82,31,41,72,-12,30,163,4,6,10,0,0,68,27
Yegor Sharangovich,CGY,LW,82,31,28,59,-29,8,179,4,6,11,3,4,13,44
Kyle Palmieri,NYI,RW,82,30,24,54,-16,26,218,8,10,10,0,0,90,42
Jake Guentzel,TBL,LW,67,30,47,77,25,22,238,2,5,17,0,0,48,28
William Karlsson,VGK,C,70,30,30,60,15,22,175,2,7,8,1,1,43,46
Blake Coleman,CGY,C,78,30,24,54,19,76,191,7,3,0,4,2,127,57
Roope Hintz,DAL,C,80,30,35,65,26,22,182,6,8,11,3,1,36,38
Joel Eriksson Ek,MIN,C,77,30,34,64,18,60,267,5,12,9,1,0,166,55
Tage Thompson,BUF,C,71,29,27,56,-1,43,246,3,9,7,2,0,79,29
Jason Robertson,DAL,LW,82,29,51,80,19,22,231,4,9,19,0,0,77,31
Jared McCann,SEA,LW,80,29,33,62,-10,31,216,3,9,14,2,0,45,27
Kevin Fiala,LAK,LW,82,29,44,73,1,62,225,2,11,19,0,0,67,28
Nazem Kadri,CGY,C,82,29,46,75,0,43,277,4,10,12,0,0,57,24
Brad Marchand,BOS,LW,82,29,38,67,2,78,207,6,7,19,3,1,115,35
John Tavares,TOR,C,80,29,36,65,2,30,279,6,9,11,0,0,134,37
Matt Boldy,MIN,LW,75,29,40,69,5,48,227,7,10,15,0,0,33,32
Alexis Lafreniere,NYR,LW,82,28,29,57,2,40,217,5,2,4,0,0,73,21
Cole Caufield,MTL,RW,82,28,37,65,-4,16,314,7,9,12,0,0,56,22
John-Jason Peterka,BUF,RW,82,28,22,50,10,28,226,5,3,4,0,0,27,18
Valeri Nichushkin,COL,LW,54,28,25,53,5,22,158,6,16,5,0,2,74,24
Drake Batherson,OTT,RW,82,28,38,66,-9,42,196,4,7,15,0,0,98,33
Owen Tippett,PHI,RW,78,28,25,53,-5,12,289,4,5,3,0,0,148,47
Bryan Rust,PIT,RW,62,28,28,56,10,20,196,3,3,6,1,0,47,51
Timo Meier,NJD,LW,69,28,24,52,-28,45,207,4,10,7,0,0,111,42
Adrian Kempe,LAK,C,77,28,47,75,13,72,246,4,5,22,3,1,113,32
Dylan Strome,WSH,C,82,27,40,67,-13,22,169,5,6,16,0,0,12,61
Nico Hischier,NJD,C,71,27,40,67,-5,12,182,4,6,11,1,0,44,42
Alex DeBrincat,DET,RW,82,27,40,67,1,34,237,1,11,8,0,0,65,35
Jesper Bratt,NJD,LW,82,27,56,83,-6,12,248,7,7,20,0,1,66,33
Pavel Buchnevich,STL,LW,80,27,36,63,3,48,207,5,8,10,2,1,42,28
Evgeni Malkin,PIT,C,82,27,40,67,5,70,199,2,6,12,0,0,29,42
Joe Pavelski,FA,RW,82,27,40,67,12,20,194,4,11,10,0,0,75,70
